source	translated	reference
An old skinny man wearing the dirty white shirt riding on a bicycle on the street	Một người đàn ông già già già trẻ mặc áo áo trắng mặc áo trắng trắng mặc áo trên một xe đạp trên đường	Một ông già gầy gò mặc chiếc áo sơ mi trắng bẩn đang đạp xe trên phố
On horseback a man attempts to rope a young bull.	Trên một người đàn ông đang muốn treo cổ một con bò tơ.	Một người đàn ông đang cưỡi ngựa và cố gắng dùng dây thừng trói một con bò đực non.
A cowboy is attempting to lasso a calf while riding a horse.	Một chàng cao bồi muốn làm một con bò đực trong khi đang cưỡi một con ngựa.	Một chàng cao bồi đang cố gắng dùng thòng lọng để bắt bê con trong khi đang cưỡi ngựa.
Two bicyclists with helmets on are riding past some empty country fields.	Hai chiếc xe đạp có mũ bảo hiểm đang đi qua một số vùng đất trống.	Hai người đi xe đạp đội mũ bảo hiểm đang đi qua một cánh đồng quê vắng vẻ.
A man is leaning over and pulling something out of a bag.	Một người đàn ông đang dựa vào và kéo cái gì đó ra khỏi một cái túi.	Một người đàn ông đang cúi xuống và lấy thứ gì đó ra khỏi túi.
A man in a motor cart rides by to witness the park area.	Một người đàn ông đi xe đạp bằng xe đạp để làm chứng khu vực công viên.	Một người đàn ông đi xe ngựa đi ngang qua để ngắm cảnh khu vực công viên.
A person with tattoos is looking at a photo on a digital camera, or cellphone.	Một người có chức năng nhận dạng đang nhìn vào một bức ảnh trên một máy quay số, hoặc điện thoại di động.	Một người có hình xăm đang xem ảnh trên máy ảnh kỹ thuật số hoặc điện thoại di động.
A man in a black shirt and jeans standing on the sidewalk looking at the camera.	Một người đàn ông mặc áo sơ mi đen và mặc quần bó đứng trên vỉa hè nhìn vào máy ảnh.	Một người đàn ông mặc áo sơ mi đen và quần jean đứng trên vỉa hè nhìn vào máy ảnh.
A boy and girl standing together on the pavement as they look at an object.	Một cậu bé và cô bé đứng với nhau trên vỉa hè khi họ nhìn vào một đối tượng.	Một cậu bé và một cô bé đứng cùng nhau trên vỉa hè khi họ nhìn vào một vật thể.
Several people in blue scrubs and one in a skirt and black blouse.	Nhiều người mặc áo lót xanh và một người mặc váy màu đen.	Một số người mặc quần áo phẫu thuật màu xanh và một người mặc váy và áo cánh màu đen.
A woman and a dog sit on a white bench near a beach.	Một người phụ nữ và một con chó ngồi trên ghế trắng gần bãi biển.	Một người phụ nữ và một chú chó ngồi trên chiếc ghế dài màu trắng gần bãi biển.
Two women are walking in dirt outside a large building.	Hai phụ nữ đang đi trên đất liền bên ngoài một tòa nhà lớn.	Hai người phụ nữ đang đi trên đường đất bên ngoài một tòa nhà lớn.
A group of men and a child in white shirts are standing in the road.	Một nhóm đàn ông và một đứa trẻ mặc áo sơ mi trắng đang đứng trên đường.	Một nhóm đàn ông và một đứa trẻ mặc áo sơ mi trắng đang đứng trên đường.
A woman wearing all black and carrying a black bag on sidewalk	♪ Một người phụ nữ mặc tất cả đen và đeo một túi đen ♪	Một người phụ nữ mặc đồ đen và mang một chiếc túi đen trên vỉa hè
Group of men sitting around a table having a conversation.	Một nhóm đàn ông ngồi xung quanh một bàn có một cuộc trò chuyện.	Một nhóm đàn ông ngồi quanh bàn và trò chuyện.
A mural on the side of a building.	Một cái cột bên cạnh tòa nhà.	Một bức tranh tường trên mặt bên của một tòa nhà.
An Asian man wearing gloves is working at a food stall.	Một người đàn ông thực dụng đeo găng tay đang làm việc tại một cửa hàng thức ăn.	Một người đàn ông châu Á đeo găng tay đang làm việc tại một quầy hàng thực phẩm.
Woman sitting at a table while working on her laptop computer.	Người phụ nữ ngồi ở một bàn trong khi đang làm việc với máy tính xách tay của mình.	Người phụ nữ đang ngồi ở bàn trong khi làm việc trên máy tính xách tay.
A person is looking at the computer on a desk with a phone and a box.	Một người đang nhìn vào máy tính trên bàn với một điện thoại và một cái hộp.	Một người đang nhìn vào máy tính trên bàn cùng với một chiếc điện thoại và một chiếc hộp.
A man sits in a chair watching people stroll by.	Một người đàn ông ngồi trên một chiếc ghế xem mọi người đi qua.	Một người đàn ông ngồi trên ghế và ngắm nhìn mọi người đi qua.
Two people wearing hats are standing in a field tending to a crop.	Hai người đội mũ đội mũ đang đứng trong một hướng tới một vụ mùa.	Hai người đội mũ đang đứng trên cánh đồng chăm sóc cây trồng.
Some leaping over a high bar in Barcelona.	Có vài người ở quán bar trong quán bar.	Một số người đang nhảy qua thanh xà cao ở Barcelona.
A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.	Một người đàn ông mặc giày cao bồi và đội mũ cao bồi ngồi trên một chiếc mũ trên một con ngựa đang nhảy trong khi khán giả ngồi trên khán đài.	Một người đàn ông đi ủng và đội mũ cao bồi ngồi trên lưng ngựa đang nhảy trong khi khán giả ngồi trên khán đài.
Two young girls are sitting on the street eating corn.	Hai cô gái trẻ ngồi ngoài đường ăn ngô.	Hai cô gái trẻ đang ngồi ăn ngô trên phố.
Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.	Ba đứa trẻ mặc đồng phục bóng bầu dục của hai đội khác nhau đang chơi bóng đá trên sân bóng trong khi một cầu thủ khác và một người lớn đứng ở sân sau.	Ba đứa trẻ mặc đồng phục bóng đá của hai đội khác nhau đang chơi bóng trên sân bóng, trong khi một cầu thủ khác và một người lớn đứng ở phía sau.
A young child with a dirty face being held by an old woman.	Một đứa trẻ với một khuôn mặt bẩn thỉu bị một bà già cầm giữ.	Một đứa trẻ với khuôn mặt bẩn thỉu đang được một bà già bế.
A man with glasses looks at camera while another man in a blue shirt looks intently at something.	Một người đeo kính nhìn vào máy quay trong khi một người đàn ông khác mặc áo màu xanh nhìn vào cái gì đó.	Một người đàn ông đeo kính nhìn vào máy ảnh trong khi một người đàn ông khác mặc áo sơ mi xanh đang chăm chú nhìn vào một thứ gì đó.
Two people sitting under a tree picking a green vegetable.	Hai người ngồi dưới một cái cây chọn một màu xanh lá cây.	Hai người đang ngồi dưới gốc cây hái rau xanh.
A young boy wearing a blue hat is looking through a telescope while another boy watches.	Một cậu bé đội mũ xanh đang nhìn qua kính thiên văn trong khi một cậu bé khác đồng hồ.	Một cậu bé đội mũ xanh đang nhìn qua kính viễn vọng trong khi một cậu bé khác đang quan sát.
3 men cooking in a small kitchen.	3 người đàn ông nấu ăn trong một nhà bếp nhỏ.	3 người đàn ông đang nấu ăn trong một căn bếp nhỏ.
A young girl wearing a gray snowsuit skiing on a snowy mountain.	Một cô gái trẻ mặc bộ đồ tuyết trắng trên núi tuyết.	Một cô gái trẻ mặc bộ đồ trượt tuyết màu xám đang trượt tuyết trên một ngọn núi tuyết.
A group of village women gathered in dance	Một nhóm các cô gái trong làng tụ tập lại trong khiêu vũ	Một nhóm phụ nữ trong làng tụ tập nhảy múa
A man and a woman are sorting through laundry with latex gloves on.	Một người đàn ông và một người phụ nữ đang chuẩn bị giặt ủi với đôi găng tay giả.	Một người đàn ông và một người phụ nữ đang phân loại quần áo giặt bằng găng tay cao su.
A young girl sitting on a wooden chair.	Một cô gái trẻ ngồi trên một chiếc ghế bằng gỗ.	Một cô gái trẻ đang ngồi trên một chiếc ghế gỗ.
Two workers weld the bars of a fence near a busy suburban street.	Hai công nhân hàn song sắt của một hàng rào gần một đường phố đông đúc.	Hai công nhân đang hàn các thanh hàng rào gần một con phố ngoại ô đông đúc.
A long-haired young man skateboarding on the rails on a cloudy day.	Một người đàn ông trẻ tuổi lang thang trên đường ray trong một ngày dài.	Một chàng trai tóc dài đang trượt ván trên đường ray vào một ngày nhiều mây.
In a outdoor market two men shovel snow and slush out of the path.	Trong một khu chợ ngoài trời, hai người đàn ông đi tuyết và đi ra khỏi con đường.	Tại một khu chợ ngoài trời, hai người đàn ông đang xúc tuyết và dọn bùn khỏi lối đi.
A guy wearing a white shirt is playing a white guitar.	Một gã mặc áo sơ mi trắng đang chơi guitar trắng.	Một chàng trai mặc áo sơ mi trắng đang chơi đàn ghita trắng.
A young girl shows her friends how to use a disposable camera.	Một cô gái trẻ chỉ cho bạn bè cách sử dụng máy ảnh.	Một cô gái trẻ đang hướng dẫn bạn bè cách sử dụng máy ảnh dùng một lần.
A little boy jumping off of a dock into a lake.	Một cậu bé nhảy ra khỏi một bến tàu vào một cái hồ.	Một cậu bé nhảy từ bến tàu xuống hồ.
Lady with a green mask at the dentist and she just look very unhappy.	Cô gái đeo mặt nạ xanh ở nha sĩ và cô ấy trông rất buồn.	Người phụ nữ đeo khẩu trang màu xanh lá cây ở nha sĩ và trông rất không vui.
A man with an orange jacket and blue hat climbing a snowy mountain.	Một người đàn ông với một áo khoác màu cam và màu xanh trắng lên một núi tuyết.	Một người đàn ông mặc áo khoác màu cam và mũ xanh đang leo núi tuyết.
A little girl with blond-hair is playing and splashing in a mud puddle.	Một cô bé tóc vàng đang chơi đùa và bắn nhau trong vũng bùn.	Một cô bé tóc vàng đang chơi đùa và té nước trong vũng bùn.
A child is riding a bike down an alleyway with graffiti in it.	Một đứa trẻ đang đi xe đạp xuống một con hẻm với một con hẻm trong đó.	Một đứa trẻ đang đạp xe xuống một con hẻm có nhiều hình vẽ graffiti.
A gymnast is being judged at en event.	Một người đang bị xét xử tại trường hợp sau đó.	Một vận động viên thể dục dụng cụ đang được đánh giá tại một sự kiện.
People walking down the street with a street vendor.	Những người đi bộ trên phố với một nhà băng.	Mọi người đang đi bộ trên phố cùng một người bán hàng rong.
Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.	Người đàn ông mặc váy truyền thống giống như quần áo, trong khi đứng bên cạnh của mình con la dường như cũng được mặc quần áo.	Người đàn ông mặc trang phục truyền thống, đứng cạnh con la của mình và dường như cũng đang mặc quần áo.
Two children are playing on a bicycle.	Hai đứa trẻ đang chơi trên một chiếc xe đạp.	Hai đứa trẻ đang chơi trên xe đạp.
Two men on opposing teams are playing soccer in a field.	Hai cầu thủ bóng đá đang chơi trên sân bóng.	Hai người đàn ông ở hai đội đối thủ đang chơi bóng đá trên một sân bóng.
A man jumps and poses for photographers lying on the ground.	Một người đàn ông nhảy múa và trở thành nhiếp ảnh gia nằm trên mặt đất.	Một người đàn ông nhảy và tạo dáng cho các nhiếp ảnh gia khi đang nằm trên mặt đất.
The girl is taking a drink from a water fountain.	Cô gái đang uống nước hồ.	Cô gái đang uống nước từ vòi phun nước.
The spelunker finds water during his trek.	Nhà vệ sinh tìm thấy nước trong suốt thời gian ông ấy đi.	Người thám hiểm hang động tìm thấy nước trong chuyến đi của mình.
A man in a lab coat is looking through a microscope.	Một người mặc áo choàng trong phòng thí nghiệm đang nhìn xuyên qua một cái kính hiển vi.	Một người đàn ông mặc áo khoác phòng thí nghiệm đang nhìn qua kính hiển vi.
A blond girl sleeps on a brown couch.	Một cô gái tóc vàng ngủ trên ghế nâu.	Một cô gái tóc vàng ngủ trên chiếc ghế dài màu nâu.
A man sweeps a sidewalk outside of a brick building during the day.	Ban ngày, người ta quét một vỉa hè bên ngoài tòa nhà gạch.	Một người đàn ông đang quét vỉa hè bên ngoài một tòa nhà gạch vào ban ngày.
Three men are cooking in a kitchen.	Ba người đàn ông đang nấu ăn trong một nhà bếp.	Ba người đàn ông đang nấu ăn trong bếp.
A man on a scaffold in front of a house is smiling and posing for the photographer.	Một người đàn ông đứng trên một cái sạp trước một ngôi nhà là cười và cung cấp cho nhiếp ảnh gia.	Một người đàn ông đứng trên giàn giáo trước ngôi nhà đang mỉm cười và tạo dáng để chụp ảnh.
Two girls in shorts are holding hands at a pool.	Hai cô gái mặc quần đùi đang nắm tay nhau ở một hồ bơi.	Hai cô gái mặc quần short đang nắm tay nhau ở hồ bơi.
Four Asian kids sit on a bench and wave and smile to the camera.	Bốn đứa trẻ Châu Á ngồi trên băng ghế dài và vẫy tay và mỉm cười với máy ảnh.	Bốn đứa trẻ châu Á ngồi trên băng ghế, vẫy tay và mỉm cười với máy ảnh.
Children ride bikes in what appears to be an impoverished nation.	Trẻ em đi xe đạp ở nơi có vẻ như là một quốc gia.	Trẻ em đi xe đạp ở một quốc gia có vẻ như nghèo đói.
A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.	Một chàng trai trẻ, đội mũ bếp trưởng và áo dài, là xúc xích cắt trong nhà bếp.	Một cậu bé đội mũ đầu bếp và đeo tạp dề đang cắt xúc xích trong bếp.
This is a clown at an elementary school.	Đây là một thằng hề ở trường tiểu học.	Đây là một chú hề ở một trường tiểu học.
The smiling ship captain is holding the wheel of his wooden ship.	Thuyền trưởng đang nắm tay lái của chiếc tàu gỗ của mình.	Người thuyền trưởng đang mỉm cười khi cầm bánh lái của con tàu gỗ.
A yellow bulldozer working to move dirt.	Một con xe ủi màu vàng làm việc để di chuyển đất.	Một chiếc xe ủi đất màu vàng đang di chuyển đất.
A woman in a red shirt is riding an all white horse that is galloping along the trees.	Một người phụ nữ mặc áo sơ mi màu đỏ đang cưỡi một con ngựa bạch đang đu đưa trên cây.	Một người phụ nữ mặc áo sơ mi đỏ đang cưỡi một con ngựa toàn màu trắng phi nước đại dọc theo những hàng cây.
A woman sitting on a very large rock smiling at the camera with trees in the background.	Một người phụ nữ ngồi trên một tảng đá rất lớn mỉm cười với máy ảnh với cây ở phía sau.	Một người phụ nữ đang ngồi trên một tảng đá rất lớn, mỉm cười với máy ảnh, phía sau là những cái cây.
Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.	Ba người đàn ông ăn mặc bảnh bao ra đường với tóc giả và sự điên cuồng.	Ba người đàn ông mặc trang phục nhiều màu sắc đi ra đường với tóc giả và kính râm kỳ quặc.
A girl plays in a small pool.	Một cô gái chơi trong một nhóm nhỏ.	Một cô gái đang chơi trong một hồ bơi nhỏ.
Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.	Hai đứa trẻ, một cậu bé mặc áo vàng và một cô gái mặc áo xanh trắng, đung đưa.	Hai đứa trẻ, một bé trai mặc áo sơ mi vàng và một bé gái mặc áo sọc xanh trắng, đang đu đưa.
A man throws a fishing net into the bay.	Người ta thảy lưới vào vịnh.	Một người đàn ông đang ném lưới đánh cá xuống vịnh.
A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.	Một người đàn ông mặc áo sơ mi, quần lót xanh và áo bảo vệ màu xanh da trời đang đứng trên đường ray với một xe tải trắng và một tòa nhà màu trắng phía sau.	Một người đàn ông mặc áo sơ mi xám, quần jean xanh và áo phao màu xanh neon đang đứng trên đường ray xe lửa với một chiếc xe tải màu trắng và một tòa nhà màu trắng ở phía sau.
Two construction workers are laying sheet metal across beams.	Hai công nhân xây dựng đang lắp ráp các miếng kim loại dọc theo nhau.	Hai công nhân xây dựng đang đặt tấm kim loại lên các thanh dầm.
There is a band on stage with band members wearing hints of blue.	Có một ban nhạc trên sân khấu với các thành viên ban nhạc gợi ý về màu xanh.	Có một ban nhạc trên sân khấu với các thành viên mặc trang phục màu xanh.
A rocker with his shirt off sings into a microphone while he plays the drums.	Một kẻ say mê với cái áo ngực của hắn hát vang lên trong khi hắn chơi trống.	Một nhạc sĩ nhạc rock cởi trần hát vào micro trong khi chơi trống.
I see a man putting his items from the shopping cart, ready to be checked out.	Tôi thấy một người đàn ông đặt hàng của mình từ xe hàng, sẵn sàng để được kiểm tra.	Tôi thấy một người đàn ông đang bỏ đồ vào xe đẩy mua sắm, chuẩn bị thanh toán.
The man with the cane is on a walk.	Người cầm gậy đang đi dạo.	Người đàn ông cầm gậy đang đi bộ.
A woman wearing a white shirt works out on an elliptical machine.	Một người phụ nữ mặc áo sơ mi trắng làm việc trên một máy đo âm đạo.	Một người phụ nữ mặc áo sơ mi trắng đang tập luyện trên máy tập elip.
A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.	Một cô gái đeo mặt nạ đi trên vai một người đàn ông qua một con đường đông đúc.	Một cô gái đeo mặt nạ ngồi trên vai một người đàn ông đi qua vỉa hè đông đúc.
Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.	Hai bé gái, một lớn tuổi hơn và da đen và một trẻ và trắng, đang biểu diễn cùng một điệu ba - lê trước mặt những đồ trang trí bằng bóng bay.	Hai cô gái, một lớn tuổi hơn mặc đồ đen và một nhỏ tuổi hơn mặc đồ trắng, đang biểu diễn cùng một động tác ba lê trước những vật trang trí làm từ bóng bay.
Several women are performing a dance in front of a building.	Nhiều phụ nữ đang biểu diễn một điệu nhảy trước một tòa nhà.	Một số phụ nữ đang biểu diễn khiêu vũ trước một tòa nhà.
A bald man walking down a city sidewalk while talking on his cellphone.	Một người đàn ông hói đi xuống một thành phố vỉa hè trong khi nói chuyện trên điện thoại của mình.	Một người đàn ông hói đang đi bộ trên vỉa hè thành phố trong khi nói chuyện trên điện thoại di động.
A woman plays with finger puppets as a small child in a costume walks by.	Một người phụ nữ chơi với những con rối ngón tay như một đứa trẻ trong một bộ trang phục đi qua.	Một người phụ nữ đang chơi rối ngón tay trong khi một đứa trẻ mặc trang phục hóa trang đi ngang qua.
A group of people watch young men play the drums using makeshift buckets as instruments.	Một nhóm người xem những chàng trai trẻ chơi trống bằng cách làm những cái xô như một nhạc cụ.	Một nhóm người đang xem những chàng trai trẻ chơi trống bằng cách sử dụng những chiếc xô tự chế làm nhạc cụ.
A girl with normal and improvised safety gear rollerblades.	Một cô gái bình thường.	Một cô gái với thiết bị an toàn thông thường và tự chế khi đi giày trượt patin.
A small white car is on the train tracks and may or may not have been hit by the train behind it.	Một chiếc xe nhỏ màu trắng đang ở trên đường ray và có thể hoặc có thể đã không bị xe lửa đâm sau nó.	Một chiếc ô tô nhỏ màu trắng nằm trên đường ray xe lửa và có thể đã bị đoàn tàu phía sau đâm phải hoặc không.
Two rockers are singing and playing on a dark stage.	Hai nhạc sĩ đang hát và đang chơi trên một sân khấu tối.	Hai ca sĩ nhạc rock đang hát và chơi nhạc trên một sân khấu tối.
A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.	Một cô gái đội mũ bóng chày, áo thun trắng và quần ngắn màu xanh đang đứng trên một con đường rừng rậm.	Một cô gái đội mũ bóng chày, mặc áo phông trắng và quần short xanh đang đứng ở một con suối trên núi có đáy đá, xung quanh là rừng cây.
Two men playing guitar in front of a large audience.	Hai người đàn ông chơi guitar trước một khán giả đông đảo.	Hai người đàn ông đang chơi đàn ghi-ta trước đông đảo khán giả.
A number of people are dancing with their significant others in front of this huge house.	Một số người đang nhảy múa với những người nổi tiếng khác ngay trước ngôi nhà khổng lồ này.	Một số người đang khiêu vũ với người yêu của mình trước ngôi nhà lớn này.
Woman and dog selling her wares on the old building steps outside.	Và người phụ nữ bán hàng của mình trên những bậc thang tòa nhà cũ bên ngoài.	Người phụ nữ và chú chó đang bán hàng trên bậc thang bên ngoài tòa nhà cũ.
A woman and two men, that are dressed professionally, are having a discussion.	Một người đàn bà và hai người đàn ông ăn mặc chuyên nghiệp đang thảo luận.	Một người phụ nữ và hai người đàn ông ăn mặc chuyên nghiệp đang thảo luận.
A group of men in red and black jackets waits on motorcycles.	Một nhóm người mặc áo khoác đỏ đen đang chờ trên xe máy.	Một nhóm đàn ông mặc áo khoác đỏ và đen đang đợi trên xe máy.
A guy dressed in a white uniform with a number 3 on it playing soccer.	Một gã mặc đồng phục trắng với số 3 trên đó đang chơi bóng đá.	Một chàng trai mặc đồng phục màu trắng có số 3 đang chơi bóng đá.
A man is selling snacks at a sporting event.	Một người đàn ông đang bán đồ ăn tại một buổi tiệc.	Một người đàn ông đang bán đồ ăn nhẹ tại một sự kiện thể thao.
Two males from the green team tackles the other members from black team for the ball in a game of rugby.	Hai nam từ đội bóng xanh, các thành viên khác từ đội đen cho quả bóng trong một trò chơi bóng bầu dục.	Hai thành viên nam của đội xanh tranh bóng với các thành viên còn lại của đội đen trong một trận bóng bầu dục.
Kids compete to gain possession of the soccer ball.	Những đứa trẻ để có được bóng đá.	Trẻ em thi nhau giành quyền sở hữu quả bóng đá.
A person in blue is the only person currently throwing their ball at a bowling alley.	Một người mặc đồ xanh là người duy nhất ném bóng tại một con hẻm.	Người mặc đồ xanh là người duy nhất đang ném bóng vào đường bowling.
Several football players on a field in action.	Cầu thủ bóng đá đang trên sân đấu.	Một số cầu thủ bóng đá đang thi đấu trên sân.
Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.	Người trẻ tuổi ngồi trên ghế, cầm một cái điện thoại, và ngồi trên thang máy.	Một chàng trai trẻ ngồi trên ván trượt, cầm điện thoại di động và tạo dáng trên thang cuốn.
A lady dressed in blue running a marathon.	Một quý cô mặc áo xanh đang chạy đua.	Một người phụ nữ mặc đồ xanh đang chạy marathon.
This band is getting ready to perform in front of an audience at church.	Ban nhạc này đang chuẩn bị trình diễn trước khán giả tại nhà thờ.	Ban nhạc này đang chuẩn bị biểu diễn trước khán giả tại nhà thờ.
# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.	# 8 cho thằng tiểu bang Iowa đang cầm vũ khí của một kẻ chơi chữ Texas đang cố hạ gục hắn.	#8 cho đội Iowa State đã cố tình cản phá một cầu thủ Texas AM đang cố gắng truy cản anh ta.
Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.	Hai cầu thủ khúc quanh nam đang trên băng trượt trên con đường đi vào phía trước tảng đá, một đám đông nhỏ canh gác.	Hai vận động viên nam chơi môn bi đá trên băng đang quét lối đi phía trước tảng đá bóng loáng, một đám đông nhỏ đang theo dõi.
Men play soccer on a muddy field.	Đàn ông chơi trên một sân chơi.	Những người đàn ông chơi bóng đá trên một sân lầy lội.
A basketball player in white squats while a player in red moves toward him.	Một cầu thủ bóng bóng trong khi một cầu thủ màu đỏ di chuyển về phía anh ta.	Một cầu thủ bóng rổ mặc đồ trắng ngồi xổm trong khi một cầu thủ mặc đồ đỏ di chuyển về phía anh ta.
People walk through an arch in an old-looking city.	Những người đi xuyên qua một cái vòm trong một thành phố cổ xưa.	Mọi người đi qua một mái vòm trong một thành phố cổ kính.
Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.	Hai xe đua, một xe màu đỏ và một màu xanh, đang di chuyển bên cạnh nhau trên đường đua trong khi có nhiều người theo dõi.	Hai chiếc xe đua, một chiếc màu đỏ và một chiếc màu xanh, đang chạy song song trên đường đua trong khi có nhiều người chứng kiến ​​đang theo dõi.
A football player in a white uniform is holding a football.	Một cầu thủ bóng đá mặc đồng phục trắng đang cầm bóng bầu dục.	Một cầu thủ bóng đá mặc đồng phục màu trắng đang cầm một quả bóng đá.
A very young boy stares ahead as he is biting onto a small object.	Một cậu bé nhìn về phía trước khi nhìn vào một vật nhỏ bé.	Một cậu bé rất nhỏ đang nhìn về phía trước trong khi đang cắn một vật nhỏ.
A woman and a child are walking down a street.	Một phụ nữ và một đứa trẻ đang đi trên một con đường.	Một người phụ nữ và một đứa trẻ đang đi bộ trên phố.
A hockey game is being played with lots of people watching it.	Một trò chơi khúc côn cầu đang được chơi với rất nhiều người xem nó.	Một trận đấu khúc côn cầu đang diễn ra với rất nhiều người đến xem.
Three woman bouncing on balls in the grass.	Ba người phụ nữ trên bi trên bãi cỏ.	Ba người phụ nữ đang chơi bóng trên cỏ.
An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.	Một chàng trai Mỹ gốc Phi mặc quần ngắn màu xanh dương, một áo sơ mi đen và đỏ, và quần trắng, đang chơi tennis.	Một cậu bé người Mỹ gốc Phi mặc quần short xanh, áo sơ mi đen và đỏ, đi giày thể thao trắng đang chơi quần vợt.
A man and a woman in white shirts are hugging each other.	Một người đàn ông và một người phụ nữ mặc áo trắng đang ôm nhau.	Một người đàn ông và một người phụ nữ mặc áo sơ mi trắng đang ôm nhau.
A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.	Một người đàn ông nói chuyện với một đơn vị gia đình đang cầm một thiết bị thăm dò khi họ nhìn vào và cười để lịch sự.	Một người đàn ông đang nói chuyện với một gia đình, tay cầm một loại thiết bị thăm dò nào đó khi họ nhìn và mỉm cười lịch sự.
Very young boy in a green shirt laying face down on a white bed.	Một chàng trai trẻ mặc áo sơ mi xanh nằm úp mặt xuống giường trắng.	Cậu bé rất trẻ mặc áo sơ mi xanh nằm sấp trên giường trắng.
An extreme cyclist stops to rest as the sun sets in the background.	Một di tích siêu tốc để nghỉ ngơi khi mặt trời lặn ở phía sau.	Một người đi xe đạp mạo hiểm dừng lại để nghỉ ngơi khi mặt trời lặn ở phía sau.
A woman is skying in a snowy area wearing warm clothing.	Một người phụ nữ đang lướt sóng trên một vùng tuyết với quần áo ấm.	Một người phụ nữ đang nhảy dù ở vùng tuyết phủ và mặc quần áo ấm.
Four girls and a lady learning how to do some crafts.	Bốn cô gái và một phụ nữ học cách làm một số nghề.	Bốn cô gái và một người phụ nữ đang học cách làm đồ thủ công.
A man wearing black and white stripes is trying to stop a horse.	Một người đàn ông mặc quân phục trắng đen đang cố ngăn chặn một con ngựa.	Một người đàn ông mặc đồ sọc đen trắng đang cố gắng chặn một con ngựa.
The gentleman is scanning the image that the woman in the blue shirt is providing him.	Đây là hình ảnh mà người phụ nữ mặc áo xanh đang tặng anh ta.	Người đàn ông đang xem hình ảnh mà người phụ nữ mặc áo sơ mi xanh cung cấp cho anh ta.
A woman with red-hair is neck deep in cloudy blue water.	Một người phụ nữ với màu đỏ là cổ trong nước biển.	Một người phụ nữ tóc đỏ đang ngụp mình trong làn nước xanh đục, ngập đến cổ.
Two young boys pose with a puppy for a family picture.	Hai chàng trai trẻ làm nghề chăn cừu cho gia đình.	Hai cậu bé tạo dáng chụp ảnh gia đình cùng một chú chó con.
Four children practice karate while two adults watch.	thói quen tập thể dục khi hai người trưởng thành.	Bốn đứa trẻ tập karate trong khi hai người lớn quan sát.
A man lounges on a red sofa in a furniture showroom.	Một người đàn ông ngồi trên một chiếc ghế sofa màu đỏ trong một buổi trưng bày.	Một người đàn ông đang nằm dài trên chiếc ghế sofa màu đỏ trong một phòng trưng bày đồ nội thất.
A group of people talking at tables.	Một nhóm người nói chuyện với nhau ở bàn.	Một nhóm người đang nói chuyện ở bàn.
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Hai đấu thủ đua ngựa, một trong tinh chỉnh màu xanh và màu đỏ và khác màu cam và màu nâu, đang chống lại một hình nền.	Hai kỵ sĩ đua ngựa, một người mặc đồ kẻ ô vuông màu xanh và đỏ, người kia mặc đồ màu cam và nâu, đang đua với phông nền mờ.
The red car is ahead of the two cars in the background.	Chiếc xe màu đỏ ở phía trước hai chiếc xe phía sau.	Chiếc xe màu đỏ chạy phía trước hai chiếc xe phía sau.
A large bull targets a man, inches away, in a rodeo with his horns, while a rodeo clown runs to help.	Một con bò đực lớn nhắm vào một người, cách đó vài phân, trong một cái sừng có sừng, trong khi một con chim cu chạy đến giúp đỡ.	Một con bò đực lớn nhắm vào một người đàn ông cách đó vài inch trong một cuộc thi đấu rodeo bằng cặp sừng của nó, trong khi một chú hề rodeo chạy đến giúp đỡ.
A shirtless man walks toward a yellow kayak.	Một người đàn ông không mặc áo sơ mi bước ra trước một kẻ mặc áo cao su.	Một người đàn ông cởi trần bước về phía chiếc thuyền kayak màu vàng.
A boy at a gun range aims and shoots.	Một thằng nhóc ngắm bắn súng và bắn.	Một cậu bé đang ngắm và bắn ở trường bắn.
Two teams of boys playing football in the sand.	Hai đội bóng đá trên bãi cát.	Hai đội nam đang chơi bóng đá trên cát.
A child in blue and a child in white stand on a short concrete wall by a stream.	Một đứa trẻ mặc áo xanh và một đứa trẻ mặc áo trắng đứng trên một bức tường bằng gạch lát cạnh một dòng suối.	Một đứa trẻ mặc đồ xanh và một đứa trẻ mặc đồ trắng đứng trên bức tường bê tông ngắn bên cạnh một dòng suối.
